Air Quality,Water Quality,Earthquake Risk,Forest Fire Risk,Flooding Risk,Pollution Risk,Insurance Cost,Company
62,83,9,56,24,3,1418,Johnson Insurance
22,64,17,46,15,29,1325,The Personal
34,35,30,81,92,74,2895,Belairdirect
87,53,95,75,43,38,2364,Economical Insurance
48,75,54,47,68,1,1199,Johnson Insurance
16,37,88,82,25,81,2236,Johnson Insurance
71,90,14,32,82,52,2447,Allstate
58,43,56,75,88,36,1443,The Co-operators
82,41,18,50,3,44,1798,The Co-operators
24,26,90,28,3,19,1321,Intact Insurance
11,50,43,90,98,74,3170,Allstate
89,96,98,49,76,63,2103,Allstate
27,46,41,25,63,11,2522,Economical Insurance
31,77,96,74,27,91,2144,Economical Insurance
9,90,46,67,70,13,2245,The Co-operators
69,98,50,49,46,5,1660,Belairdirect
15,9,72,53,48,25,3161,Intact Insurance
45,60,76,7,41,63,1811,Belairdirect
57,57,45,94,17,19,2030,Belairdirect
44,2,31,75,20,56,2307,Economical Insurance
87,69,56,62,98,97,1863,Intact Insurance
72,88,21,56,39,16,3374,Johnson Insurance
0,44,72,59,86,100,3244,Belairdirect
86,46,92,10,25,34,1281,Economical Insurance
95,47,74,39,38,58,3297,Intact Insurance
76,94,3,85,33,11,1631,Allstate
77,4,32,23,93,68,2121,The Personal
31,13,22,44,41,14,1269,Economical Insurance
57,43,10,0,77,99,2683,Belairdirect
45,11,43,84,90,83,3059,Allstate
86,48,26,85,75,53,3553,Allstate
36,15,76,95,74,76,1365,Allstate
28,70,5,20,88,14,2089,Johnson Insurance
30,60,45,84,79,29,1240,Economical Insurance
24,65,97,92,29,99,1947,Johnson Insurance
23,5,97,11,23,28,2026,The Co-operators
34,13,84,82,87,18,1423,The Co-operators
29,6,10,62,51,57,3111,The Personal
98,74,70,11,58,12,3472,Economical Insurance
23,21,87,51,29,23,1832,Belairdirect
38,47,98,27,17,82,1109,Economical Insurance
4,53,32,99,45,15,1024,Johnson Insurance
28,86,99,28,41,88,1271,The Personal
39,52,29,3,63,100,3090,Intact Insurance
83,36,55,15,38,34,3179,Allstate
28,60,51,54,66,58,2658,The Personal
80,95,34,71,59,42,2713,Belairdirect
76,43,17,50,76,98,2414,The Co-operators
11,47,90,0,5,94,1912,Johnson Insurance
78,68,23,37,74,21,1114,The Co-operators
73,48,82,49,37,33,2291,Economical Insurance
35,9,37,32,9,66,2983,Johnson Insurance
61,39,73,20,60,94,2643,The Personal
76,62,99,6,3,30,2220,Economical Insurance
2,40,48,79,79,44,1435,The Personal
54,6,3,1,91,83,2381,Belairdirect
64,3,0,30,74,94,3442,The Co-operators
43,16,31,81,31,54,2320,The Co-operators
49,0,48,45,42,40,1019,Intact Insurance
22,47,84,79,72,20,2216,Intact Insurance
38,5,79,27,53,88,1650,Intact Insurance
52,24,36,45,26,100,3167,Johnson Insurance
85,31,57,23,26,21,1657,The Personal
48,2,89,95,2,68,3058,Allstate
41,58,81,13,58,76,1705,Belairdirect
10,70,39,11,73,36,1920,Economical Insurance
56,56,26,18,92,80,2264,The Personal
39,88,61,54,94,92,2703,The Personal
99,7,100,40,29,21,2723,Belairdirect
26,31,32,21,38,13,3137,Allstate
10,20,4,57,77,8,1426,The Co-operators
10,73,27,13,50,41,1417,The Personal
91,10,42,45,10,49,1962,Belairdirect
50,63,75,39,15,3,2322,Intact Insurance
71,34,69,99,4,53,3401,Intact Insurance
63,45,27,69,49,64,3510,The Co-operators
13,57,66,66,6,6,1173,Johnson Insurance
78,7,14,54,0,45,3130,The Personal
11,22,64,31,3,15,1676,Economical Insurance
82,49,87,0,17,54,2826,Allstate
79,65,10,86,76,66,1707,Johnson Insurance
63,48,82,30,86,3,3096,The Co-operators
75,25,76,13,53,97,1421,Belairdirect
12,69,61,45,81,14,1422,The Personal
19,24,61,40,23,37,2715,The Co-operators
55,100,4,41,6,85,1249,Allstate
13,18,47,94,39,18,2058,Allstate
79,77,55,31,40,71,1534,Allstate
75,63,11,28,46,65,1373,Intact Insurance
88,62,61,75,76,79,1444,Belairdirect
38,44,38,9,66,66,2879,Intact Insurance
21,88,83,20,36,15,3106,Johnson Insurance
25,82,3,25,23,88,2689,The Co-operators
100,7,51,8,83,65,2047,The Co-operators
12,73,34,10,51,69,3344,Belairdirect
60,83,41,34,30,37,2737,Economical Insurance
100,40,91,30,46,48,2058,The Personal
97,18,7,36,92,51,1455,Allstate
87,12,33,46,65,90,2654,Intact Insurance
57,95,61,10,81,69,1799,Johnson Insurance
47,50,44,21,32,21,2303,The Co-operators
25,52,37,48,47,97,1189,The Personal
9,44,29,53,91,91,3039,Intact Insurance
12,36,79,19,2,60,2752,Belairdirect
83,93,87,59,73,73,3096,Johnson Insurance
47,56,10,82,80,41,2116,Johnson Insurance
45,14,35,53,94,66,1848,The Co-operators
81,37,53,100,61,10,1905,Economical Insurance
75,18,16,11,63,49,1465,Belairdirect
16,32,60,34,5,75,2054,Johnson Insurance
43,58,99,52,78,13,1839,Intact Insurance
7,99,43,73,83,53,2392,The Co-operators
29,71,15,48,13,35,3048,The Co-operators
72,15,32,13,31,63,3332,The Co-operators
54,77,45,53,74,60,2098,The Personal
72,56,34,36,36,25,1401,Economical Insurance
92,73,10,37,55,51,3432,Allstate
93,15,27,7,88,98,2381,Johnson Insurance
23,37,41,80,26,6,3171,Allstate
97,59,47,3,23,72,1279,The Co-operators
88,24,68,20,40,54,1303,Johnson Insurance
82,60,35,0,49,92,2762,The Personal
26,55,63,42,17,88,2235,Johnson Insurance
56,23,20,62,9,62,2113,Belairdirect
29,73,6,24,16,5,1224,The Co-operators
60,45,52,31,81,90,3521,The Co-operators
76,16,64,53,4,85,1299,The Co-operators
63,67,21,21,65,73,3067,Johnson Insurance
31,20,79,92,23,5,2963,Allstate
83,52,94,9,2,47,2356,Intact Insurance
12,70,88,55,70,0,3049,Johnson Insurance
47,80,99,75,15,42,2925,The Personal
19,50,100,23,30,33,2668,Economical Insurance
87,77,99,16,73,91,2951,Intact Insurance
28,22,10,9,34,52,2686,Intact Insurance
24,55,37,42,85,32,2113,Economical Insurance
28,67,34,65,20,85,2610,Economical Insurance
17,83,72,39,13,38,3495,The Personal
48,94,59,100,33,22,2950,Belairdirect
92,23,22,27,90,63,1476,Johnson Insurance
24,54,76,22,29,48,1666,The Co-operators
1,6,48,76,3,82,1834,The Co-operators
81,70,37,38,52,22,1057,Belairdirect
94,7,68,29,77,71,3143,Johnson Insurance
60,39,17,96,12,42,2639,Belairdirect
4,14,91,57,81,43,3444,Johnson Insurance
6,27,25,14,23,69,3049,Belairdirect
98,23,86,74,18,16,2084,The Personal
66,49,8,93,20,30,2832,Allstate
87,70,38,51,31,5,2530,Intact Insurance
44,73,17,17,3,37,1275,The Personal
8,38,32,72,1,44,2604,The Co-operators
20,47,62,72,93,78,2014,Johnson Insurance
27,39,40,97,66,15,1010,Intact Insurance
86,24,95,20,33,58,2904,The Co-operators
7,69,67,4,30,29,1661,Johnson Insurance
84,60,66,57,40,69,2831,Johnson Insurance
50,37,44,54,77,78,3057,Johnson Insurance
95,43,11,4,2,10,2418,The Personal
49,9,27,75,35,0,1274,The Co-operators
51,83,31,58,4,35,3044,The Co-operators
39,30,20,19,23,46,3321,Allstate
53,69,48,39,36,27,3392,Johnson Insurance
17,26,92,1,21,82,1023,Intact Insurance
97,83,83,70,64,73,3437,The Co-operators
48,63,3,58,33,16,1604,Intact Insurance
60,31,42,68,68,20,2754,The Co-operators
3,81,48,59,14,82,1300,The Personal
29,60,21,96,38,57,1895,Economical Insurance
32,87,49,26,79,33,3189,Allstate
91,81,69,64,26,7,2471,Johnson Insurance
11,68,23,80,35,83,2375,Belairdirect
33,71,58,24,47,74,2049,The Personal
6,25,61,77,31,77,1284,Johnson Insurance
9,56,68,28,2,24,2730,Intact Insurance
99,44,75,80,8,42,2105,Economical Insurance
37,0,94,97,25,26,1769,The Personal
2,27,26,76,93,69,2296,Belairdirect
73,78,95,76,84,100,3476,The Co-operators
27,36,32,28,25,7,1519,Economical Insurance
81,75,68,71,61,17,3163,The Personal
51,13,94,100,58,66,1491,Belairdirect
52,49,59,98,11,49,1169,Belairdirect
37,13,67,98,57,27,1105,Economical Insurance
95,18,40,90,31,67,2903,Economical Insurance
25,35,47,82,74,38,1882,Johnson Insurance
31,76,16,69,59,21,2946,Economical Insurance
38,56,40,24,89,22,1560,Belairdirect
39,4,77,21,58,98,2962,Intact Insurance
59,61,59,28,22,33,1517,Johnson Insurance
78,80,57,60,16,39,3173,Economical Insurance
25,61,79,14,30,55,2370,Johnson Insurance
55,22,91,65,15,29,3264,Allstate
78,44,65,11,89,6,3294,Intact Insurance
60,40,96,47,0,24,3370,Economical Insurance
95,44,96,20,54,27,1149,Economical Insurance
99,86,55,8,80,3,1490,Johnson Insurance
10,77,89,88,74,88,2169,Johnson Insurance
21,54,61,66,33,15,3275,Belairdirect
66,91,27,52,28,10,2172,Johnson Insurance
77,87,84,30,57,65,2653,Belairdirect
21,23,48,97,82,77,2473,The Co-operators
16,20,41,70,20,50,1192,The Co-operators
93,57,21,66,73,66,1788,Johnson Insurance
50,98,59,88,53,99,3271,Economical Insurance
47,66,79,69,64,16,2936,The Personal
35,9,47,92,79,25,2460,Economical Insurance
37,23,65,13,19,56,1680,The Co-operators
19,76,99,8,76,96,1831,Economical Insurance
76,54,59,93,55,80,2203,Johnson Insurance
59,30,100,100,97,11,1315,Intact Insurance
81,25,7,33,11,14,3320,Belairdirect
50,14,56,91,50,87,1631,Economical Insurance
83,49,66,57,85,59,2955,Johnson Insurance
35,44,9,37,42,47,2240,The Co-operators
59,40,50,79,96,89,2380,Allstate
68,3,40,60,3,56,2093,Belairdirect
40,2,60,99,84,32,2138,The Co-operators
75,85,43,84,97,91,3086,Intact Insurance
77,98,55,32,79,11,1390,The Personal
82,29,43,34,36,5,2480,Allstate
49,77,3,100,22,19,3215,Johnson Insurance
72,42,55,62,66,3,1462,Johnson Insurance
2,10,74,67,94,6,1875,The Personal
30,44,1,23,27,82,2594,Economical Insurance
73,80,74,44,36,78,1821,Economical Insurance
81,24,39,60,26,73,2403,Allstate
10,50,25,0,65,31,3265,Belairdirect
98,15,5,77,99,65,2163,Economical Insurance
55,65,35,5,81,96,3035,Johnson Insurance
77,83,50,31,38,67,2573,The Personal
13,6,81,64,52,35,1603,Johnson Insurance
75,53,88,41,27,97,2728,Intact Insurance
89,36,4,4,30,23,2350,Johnson Insurance
93,73,51,46,27,75,2555,Allstate
84,52,4,43,73,3,3114,Allstate
33,39,72,1,70,98,2970,Allstate
20,68,11,90,23,93,2984,Intact Insurance
58,34,88,13,33,98,1899,Johnson Insurance
65,57,10,60,69,91,3132,Johnson Insurance
32,65,51,92,46,84,1449,Belairdirect
20,72,9,46,5,9,1267,Economical Insurance
17,72,15,32,50,25,2835,Belairdirect
76,29,30,81,42,39,1942,Economical Insurance
57,90,49,86,80,93,1225,Economical Insurance
36,44,57,49,47,12,2673,The Co-operators
66,8,41,5,59,62,1899,Johnson Insurance
79,35,17,51,47,34,2379,The Personal
65,66,65,61,93,3,1415,Belairdirect
77,75,90,49,20,63,1702,The Personal
0,80,50,98,27,76,1685,Economical Insurance
56,72,31,71,16,96,3281,The Co-operators
60,68,39,61,99,58,2387,Intact Insurance
90,90,65,36,9,32,3443,Belairdirect
43,96,52,26,75,90,3326,Economical Insurance
100,89,95,4,23,20,1406,Johnson Insurance
66,98,33,19,55,67,2915,Intact Insurance
1,22,9,57,31,67,2051,The Co-operators
15,60,50,9,47,27,2985,Allstate
11,51,95,40,7,60,2694,Belairdirect
57,71,74,4,92,37,3543,Johnson Insurance
53,28,23,25,14,21,1085,The Co-operators
60,23,75,74,54,80,2779,Allstate
5,87,28,55,48,90,1985,The Personal
22,69,0,50,74,29,2616,Belairdirect
79,12,90,41,19,7,3490,Johnson Insurance
60,30,87,29,69,57,1962,Allstate
1,35,40,58,63,55,2214,Belairdirect
76,15,6,81,73,34,2244,Belairdirect
55,24,79,96,95,73,2127,The Co-operators
80,18,63,34,26,49,3241,The Co-operators
41,67,100,60,24,29,1242,Johnson Insurance
85,46,6,19,21,31,1045,The Co-operators
31,10,66,56,41,5,2475,Economical Insurance
88,69,49,2,27,99,2636,The Co-operators
85,3,99,34,77,37,2772,The Co-operators
73,41,63,64,33,14,2495,Belairdirect
0,67,31,1,8,63,1199,Johnson Insurance
39,86,23,17,53,66,1579,Allstate
27,6,79,81,43,87,1375,Intact Insurance
88,1,93,15,36,0,1913,Economical Insurance
16,38,7,43,37,32,2866,Allstate
60,17,38,33,81,60,1410,Allstate
34,18,64,40,25,87,1389,The Co-operators
6,72,71,45,69,94,1427,Belairdirect
70,100,5,41,48,99,3065,Johnson Insurance
36,81,69,69,96,85,2243,Johnson Insurance
32,37,13,14,24,10,2525,Johnson Insurance
95,66,70,10,30,72,2225,Economical Insurance
69,98,7,78,28,84,2526,Allstate
2,57,57,39,83,51,1058,Economical Insurance
95,54,83,62,90,60,3362,Intact Insurance
3,12,93,25,61,26,1864,The Co-operators
50,29,18,27,53,20,1176,Intact Insurance
47,87,91,36,55,6,1856,Johnson Insurance
32,3,84,96,29,22,2781,Economical Insurance
6,62,96,95,71,70,2687,Economical Insurance
50,75,32,48,18,60,3137,The Co-operators
82,33,72,29,88,95,2564,Allstate
59,93,5,86,78,66,1599,Belairdirect
48,31,55,21,27,59,1393,Intact Insurance
19,74,63,58,25,11,1050,Johnson Insurance
12,38,10,44,11,57,2677,Belairdirect
26,74,49,52,67,46,1589,Intact Insurance
7,45,1,53,60,8,1906,The Co-operators
17,44,44,86,52,85,2320,Intact Insurance
64,8,83,74,47,43,3330,Economical Insurance
64,18,42,6,29,2,1546,The Personal
18,1,71,44,29,71,1000,Belairdirect
12,64,63,51,94,7,1241,Johnson Insurance
71,61,61,57,7,44,1181,Allstate
65,7,88,80,1,6,2214,Johnson Insurance
75,25,48,56,43,63,2480,Johnson Insurance
42,29,19,22,10,26,1218,Belairdirect
79,73,61,64,0,36,3353,Johnson Insurance
14,69,53,20,7,98,1829,Johnson Insurance
12,41,81,90,16,44,2351,Allstate
12,93,90,64,17,97,1585,Johnson Insurance
20,88,39,90,8,87,2220,Allstate
67,42,25,73,5,67,2824,Economical Insurance
88,78,60,31,12,63,1691,Economical Insurance
8,86,45,62,85,85,3496,Intact Insurance
16,13,5,65,47,11,1905,The Personal
16,44,43,52,85,5,3157,Belairdirect
61,14,87,82,62,89,2074,The Co-operators
88,27,27,0,19,41,1123,Economical Insurance
16,19,17,63,84,0,2866,The Co-operators
17,37,71,8,75,51,1191,Belairdirect
13,65,3,21,56,1,3292,Economical Insurance
58,13,39,28,6,31,1043,The Co-operators
2,16,27,28,82,33,2675,The Co-operators
51,85,48,66,13,3,1623,The Co-operators
89,92,62,99,25,87,2405,Belairdirect
19,53,62,56,57,87,3130,The Personal
18,22,96,50,2,93,1355,Intact Insurance
76,53,90,39,77,25,3249,Allstate
35,19,58,65,48,52,1451,Economical Insurance
84,80,19,67,64,23,1905,Johnson Insurance
67,8,39,92,13,96,2031,The Personal
72,46,7,44,15,44,1055,The Co-operators
43,94,23,63,52,89,2838,The Co-operators
82,44,96,43,78,51,3427,Johnson Insurance
33,63,16,23,49,1,2253,The Personal
45,11,15,39,40,57,3234,Johnson Insurance
17,6,24,54,3,13,3169,The Personal
29,94,92,54,52,81,1384,The Personal
82,48,26,38,0,22,2619,Belairdirect
44,68,80,97,7,16,3589,Economical Insurance
90,79,88,50,78,43,2895,Allstate
45,82,14,0,43,84,2871,Intact Insurance
52,5,68,56,55,80,1529,Allstate
20,19,84,74,75,23,2106,Allstate
29,63,37,33,66,14,2390,Economical Insurance
18,91,83,44,41,51,2707,Intact Insurance
42,70,19,84,15,21,1379,Intact Insurance
73,1,24,4,75,66,2166,Economical Insurance
92,98,51,41,64,15,2227,Johnson Insurance
45,62,63,11,51,27,2268,Intact Insurance
10,61,70,73,73,71,3184,Economical Insurance
63,98,8,55,88,89,1144,Intact Insurance
7,88,32,95,43,62,2806,Belairdirect
71,74,91,39,2,68,2901,Intact Insurance
64,43,77,51,69,77,2963,Economical Insurance
93,20,33,32,30,14,3498,Belairdirect
46,73,100,17,38,3,3045,Intact Insurance
57,41,26,16,65,76,3201,Economical Insurance
65,37,65,92,81,15,1628,Belairdirect
99,28,0,54,94,79,1661,The Co-operators
13,24,28,43,77,13,2514,The Personal
27,75,70,20,6,71,2501,The Personal
52,96,69,79,32,73,3236,Allstate
24,9,82,39,37,0,3231,Intact Insurance
86,37,89,39,81,79,1493,Economical Insurance
4,70,46,11,84,34,1217,Belairdirect
19,5,37,19,90,20,2094,Belairdirect
0,21,60,54,25,41,1709,Allstate
79,59,81,93,80,49,1544,Economical Insurance
21,70,25,31,32,73,1860,The Co-operators
66,8,90,78,2,21,2681,Belairdirect
66,53,95,28,43,38,1793,Allstate
28,76,72,1,10,13,1937,Intact Insurance
33,64,32,93,38,92,2811,Economical Insurance
86,87,18,28,36,63,1855,Johnson Insurance
57,12,73,100,89,29,2473,Allstate
73,56,43,72,47,37,1487,Economical Insurance
77,76,88,80,74,92,3405,The Co-operators
26,63,99,34,93,90,3587,The Co-operators
73,21,42,97,53,93,2019,The Co-operators
97,36,3,18,85,28,3248,The Co-operators
45,36,53,12,28,20,2328,Allstate
8,67,0,1,92,41,1807,Belairdirect
16,4,20,85,75,83,3326,Allstate
75,43,68,13,91,0,2127,The Personal
18,35,100,22,79,90,3417,Intact Insurance
14,22,86,7,82,28,3406,The Personal
97,41,74,13,91,59,2388,The Co-operators
63,91,89,4,24,15,3393,The Personal
56,92,7,14,22,40,3399,Intact Insurance
27,18,53,42,13,92,1584,Allstate
51,73,21,63,7,71,1539,Johnson Insurance
34,56,15,86,79,84,2204,Belairdirect
66,96,30,9,15,38,2378,The Personal
92,35,36,100,36,75,3123,Belairdirect
20,74,55,37,61,43,3200,The Co-operators
84,54,48,21,49,47,1657,Belairdirect
78,7,7,70,56,87,2666,Belairdirect
97,75,82,95,27,89,2196,Allstate
67,85,74,26,18,54,1175,Allstate
69,83,25,36,49,2,2021,The Co-operators
64,92,22,46,62,27,1470,Intact Insurance
44,32,47,46,44,84,1629,The Co-operators
25,86,49,26,0,16,2764,Johnson Insurance
56,54,35,19,6,2,3491,Johnson Insurance
55,85,58,21,11,78,2524,Allstate
88,66,86,88,85,2,2409,Belairdirect
18,11,67,62,55,40,3101,Belairdirect
55,77,68,8,23,9,1398,Economical Insurance
85,32,30,21,35,89,2272,The Personal
92,98,26,42,26,92,2348,Johnson Insurance
38,68,22,60,93,78,2449,Economical Insurance
59,48,0,42,11,17,2287,The Co-operators
21,98,83,86,73,5,2499,Belairdirect
17,97,85,1,24,25,1388,Belairdirect
17,75,86,48,91,98,1729,Belairdirect
24,39,86,55,86,66,2561,Johnson Insurance
30,49,10,13,7,62,1889,Economical Insurance
42,15,82,60,96,61,2747,Economical Insurance
19,56,43,46,13,79,1630,The Personal
64,74,44,59,46,51,2854,The Personal
41,88,28,72,37,57,3470,Belairdirect
15,13,44,17,1,91,2689,The Personal
22,83,75,60,41,29,1327,Allstate
5,2,68,4,89,98,2497,Intact Insurance
58,58,48,61,42,25,3489,The Co-operators
72,11,97,3,62,5,2551,The Co-operators
71,76,64,94,15,34,2037,The Co-operators
28,96,79,75,42,97,2573,The Co-operators
0,67,89,94,48,71,3195,Johnson Insurance
87,11,26,94,90,66,2533,The Personal
94,96,58,49,92,65,1111,Belairdirect
83,97,50,37,99,78,2047,Intact Insurance
22,29,94,27,97,52,2277,Belairdirect
78,78,61,11,58,49,2099,Allstate
87,65,99,21,61,34,3447,The Co-operators
41,60,28,0,55,67,1686,The Personal
20,19,73,61,100,21,1355,The Co-operators
35,50,11,56,16,77,1596,Johnson Insurance
11,93,87,33,55,21,1908,Intact Insurance
62,98,56,95,37,28,3101,The Personal
30,36,61,76,65,26,2194,Intact Insurance
69,65,68,19,29,28,2933,Intact Insurance
63,49,92,9,31,28,2430,The Personal
12,42,84,80,91,84,1878,Belairdirect
13,59,84,55,23,91,2594,Allstate
64,31,37,31,50,25,2246,Johnson Insurance
76,59,66,18,82,10,2228,Johnson Insurance
7,97,0,1,83,23,2652,Belairdirect
8,38,86,31,58,18,1840,Allstate
89,92,40,13,82,27,1209,The Co-operators
6,26,42,5,52,6,2469,Economical Insurance
40,33,69,18,3,22,2825,The Personal
6,19,43,26,59,95,1224,Belairdirect
31,7,56,41,34,49,2971,Allstate
38,37,41,83,27,92,3250,The Co-operators
41,57,40,54,11,35,2679,Johnson Insurance
10,99,77,29,61,27,3030,Allstate
87,80,10,0,5,73,1069,The Personal
15,81,6,65,55,100,1285,The Co-operators
45,74,52,37,87,33,3272,Intact Insurance
19,57,26,75,31,31,1276,The Personal
11,51,14,17,51,93,1442,Belairdirect
11,8,53,11,12,19,1133,Allstate
31,94,56,89,41,93,1377,Economical Insurance
37,68,92,4,94,70,3286,Economical Insurance
25,19,26,79,91,7,1850,Allstate
89,34,29,21,18,33,3203,The Personal
25,83,15,53,66,36,1402,The Co-operators
37,77,79,24,65,70,3130,The Personal
23,1,72,12,59,77,1230,Economical Insurance
48,92,9,21,95,56,1105,Belairdirect
39,22,67,93,39,89,1785,The Co-operators
74,65,67,17,50,12,2341,Allstate
80,92,90,7,15,41,1817,Intact Insurance
27,58,49,62,60,34,2816,Intact Insurance
24,33,10,95,34,29,2088,The Personal
0,95,70,62,7,87,3558,Allstate
80,30,87,61,82,20,1574,Economical Insurance
83,89,40,71,84,48,3195,The Co-operators
47,13,84,28,72,94,1626,Intact Insurance
5,0,56,68,2,24,2273,Belairdirect
38,45,29,63,56,78,2877,Economical Insurance
72,27,74,93,5,0,2096,Intact Insurance
63,91,50,6,55,27,2997,Economical Insurance
44,62,13,99,83,77,2451,Johnson Insurance
51,96,30,1,44,69,1992,The Co-operators
96,37,85,97,29,60,2580,Economical Insurance
62,48,63,53,18,82,3448,Belairdirect
56,18,56,60,42,0,2103,The Co-operators
13,36,24,73,0,68,2532,The Co-operators
12,21,86,40,74,98,1380,Economical Insurance
29,29,83,29,52,87,1113,Johnson Insurance
49,87,49,90,19,34,2583,Allstate
69,38,88,63,0,28,2525,Intact Insurance
84,77,45,61,45,4,1972,Intact Insurance
67,93,31,94,64,36,2579,The Personal
83,7,76,44,91,89,1508,Allstate
69,1,63,90,42,49,1935,Johnson Insurance
71,0,0,98,3,21,2446,Belairdirect
75,34,19,63,69,41,2567,Intact Insurance
77,70,20,26,36,72,1404,Belairdirect
13,84,60,59,97,7,1136,The Co-operators
53,89,83,80,5,98,1573,Economical Insurance
51,80,8,44,99,5,3167,Intact Insurance
2,6,87,32,53,99,2970,Allstate
67,56,27,8,96,29,1754,Belairdirect
74,17,10,8,99,47,1279,The Co-operators
48,18,50,22,46,67,2696,Johnson Insurance
81,13,30,80,27,24,3417,The Personal
36,12,93,3,58,22,2103,Johnson Insurance
58,1,68,62,35,46,1244,The Personal
33,73,50,19,58,30,2858,Belairdirect
28,47,56,71,93,49,2683,Economical Insurance
53,31,93,57,33,24,3083,The Personal
35,80,33,3,27,25,1855,Allstate
80,27,47,90,78,61,2150,Allstate
28,90,6,65,88,16,3055,Intact Insurance
11,100,99,80,76,37,2965,Belairdirect
54,17,98,84,17,88,1677,The Co-operators
8,56,96,3,5,2,3244,The Personal
56,78,50,50,94,16,2338,Johnson Insurance
94,37,54,46,94,61,3088,The Co-operators
4,30,100,72,77,67,2469,Intact Insurance
52,34,1,42,4,21,1663,Belairdirect
43,40,77,35,78,10,3217,Allstate
33,63,72,87,96,18,3089,Allstate
54,31,53,36,8,24,2896,The Co-operators
39,60,82,15,38,23,1215,The Co-operators
61,41,82,68,79,94,2809,Economical Insurance
69,55,0,22,84,47,1832,Economical Insurance
57,61,47,94,6,63,1635,Allstate
55,98,7,77,58,87,2564,The Personal
54,42,20,34,87,79,1187,Belairdirect
30,52,8,34,80,40,2050,Economical Insurance
75,73,83,12,20,34,2233,The Co-operators
63,11,9,9,32,34,1782,The Personal
34,77,57,31,98,60,2370,Economical Insurance
65,10,19,62,46,62,1308,Economical Insurance
27,98,96,50,7,5,1425,Intact Insurance
92,60,19,24,46,40,2509,Economical Insurance
75,24,74,50,49,15,2723,The Personal
14,52,28,0,93,21,2868,Belairdirect
36,69,81,11,67,72,1501,Johnson Insurance
35,71,67,80,17,96,3460,Economical Insurance
82,62,53,44,47,12,1758,Johnson Insurance
89,61,56,79,76,37,1317,The Personal
29,11,70,76,66,57,1836,The Co-operators
43,31,34,72,59,3,2381,Intact Insurance
60,45,1,47,2,3,1309,Economical Insurance
16,86,92,54,69,46,2020,Johnson Insurance
60,42,75,81,45,61,1774,Allstate
39,30,27,59,1,89,1829,Allstate
43,28,6,74,39,63,2495,Belairdirect
51,14,64,14,77,8,1896,The Personal
67,5,79,74,73,40,1822,Johnson Insurance
9,21,95,34,53,28,1351,Belairdirect
90,21,3,14,50,96,1848,The Personal
29,66,39,49,13,99,2353,The Co-operators
100,19,95,60,87,89,1579,Allstate
92,94,66,10,9,45,2382,Allstate
67,72,76,44,15,48,1517,Allstate
46,76,89,63,0,9,1987,The Personal
44,89,75,16,20,61,2303,The Co-operators
64,47,78,28,63,32,1273,Belairdirect
6,60,93,10,23,77,2571,Belairdirect
93,27,77,19,93,78,2950,Intact Insurance
21,18,43,18,87,60,2888,Johnson Insurance
97,41,23,54,6,31,3065,The Personal
82,56,51,9,19,49,3435,The Personal
87,100,85,28,45,31,2191,Allstate
28,39,94,96,26,46,2523,Intact Insurance
5,33,59,2,43,68,3434,The Personal
0,36,37,64,66,94,1563,Allstate
7,84,94,73,83,62,3566,Belairdirect
